0,-1,101111110100101111111000	,00111111001111110100101111111000	,0,-1,111001010000110101111011	,00111111011001010000110101111011	
0,-1,101100010011101100011000	,00111111001100010011101100011000	,1,-1,110100110001011001101110	,10111111010100110001011001101110	
0,-2,111100011110111100001111	,00111110111100011110111100001111	,1,-4,100000111011110111011111	,10111101100000111011110111011111	
0,-2,101110011010101110001110	,00111110101110011010101110001110	,0,-1,110010100001101011110111	,00111111010010100001101011110111	
0,-1,110001001110110001010010	,00111111010001001110110001010010	,1,-2,101001001010110110011010	,10111110101001001010110110011010	
1,-1,101100010011101100011000	,10111111001100010011101100011000	,0,-1,110101100001010011110000	,00111111010101100001010011110000	
0,-3,100111011000100111001110	,00111110000111011000100111001110	,0,-2,100011001011100110101001	,00111110100011001011100110101001	
0,-4,111000010000111000000010	,00111101111000010000111000000010	,1,-1,111011100000100100000010	,10111111011011100000100100000010	
1,-5,100001110000100001100111	,10111101000001110000100001100111	,1,-8,101111111010000010010100	,10111011101111111010000010010100	
1,-1,101111110100101111111000	,10111111001111110100101111111000	,1,-1,100110100011001011100011	,10111111000110100011001011100011	
1,-1,100101010001100101011000	,10111111000101010001100101011000	,0,-1,110110010001001101110010	,00111111010110010001001101110010	
1,-2,101101000000101100110100	,10111110101101000000101100110100	,1,-1,100110100011001011100011	,10111111000110100011001011100011	
1,-3,111000010000111000000010	,10111110011000010000111000000010	,1,-2,100001101011110010100101	,10111110100001101011110010100101	
0,-2,101000110010101000100111	,00111110101000110010101000100111	,0,-1,100010110011101001101000	,00111111000010110011101001101000	
1,-1,101110011010101110011111	,10111111001110011010101110011111	,1,-2,111000001000111110100111	,10111110111000001000111110100111	
1,-1,110100101111110100110010	,10111111010100101111110100110010	,1,-2,111110001000001110111010	,10111110111110001000001110111010	
0,-4,110010101000110010011011	,00111101110010101000110010011011	,1,-2,100111101011000010110111	,10111110100111101011000010110111	
0,-1,111010010111111010011001	,00111111011010010111111010011001	,1,-1,101110110010001001101100	,10111111001110110010001001101100	
1,-4,111000010000111000000010	,10111101111000010000111000000010	,0,-2,110000101001111010110010	,00111110110000101001111010110010	
1,-2,101111110100101111101000	,10111110101111110100101111101000	,0,-2,111001101000110010101100	,00111110111001101000110010101100	
0,-1,111011110001111011110011	,00111111011011110001111011110011	,0,-1,100011100011100011101011	,00111111000011100011100011101011	
0,-2,110101011100110101001110	,00111110110101011100110101001110	,0,-1,110011010001100101111010	,00111111010011010001100101111010	
1,-3,101111110100101111101000	,10111110001111110100101111101000	,1,-8,101111111010000010010100	,10111011101111111010000010010100	
1,-2,100101111110100101110100	,10111110100101111110100101110100	,0,-2,111111101000000010111110	,00111110111111101000000010111110	
0,-3,100111011000100111001110	,00111110000111011000100111001110	,1,-4,110010111001101000010111	,10111101110010111001101000010111	
0,-2,111001101010111001011011	,00111110111001101010111001011011	,1,-4,100110111011000111110010	,10111101100110111011000111110010	
1,-1,110001001110110001010010	,10111111010001001110110001010010	,1,-2,110101001001010110111111	,10111110110101001001010110111111	
0,-1,111010010111111010011001	,00111111011010010111111010011001	,0,-3,101110011010001101001100	,00111110001110011010001101001100	
0,-1,100111011000100111011111	,00111111000111011000100111011111	,1,-1,110100000001011111101011	,10111111010100000001011111101011	
1,-7,101101000000101100110100	,10111100001101000000101100110100	,1,-6,111011111000100010111001	,10111100111011111000100010111001	
1,-3,100100100100100100011010	,10111110000100100100100100011010	,1,-1,100101000011010111011110	,10111111000101000011010111011110	
1,-4,101101000000101100110100	,10111101101101000000101100110100	,1,-1,110111110001000001110111	,10111111010111110001000001110111	
0,-1,111010010111111010011001	,00111111011010010111111010011001	,0,-4,100110111011000111110010	,00111101100110111011000111110010	
1,-5,100001110000100001100111	,10111101000001110000100001100111	,0,-2,101111001010000110101101	,00111110101111001010000110101101	
0,-1,110000100001110000100101	,00111111010000100001110000100101	,0,-1,110111000001000111110100	,00111111010111000001000111110100	
0,-1,101111000111101111001100	,00111111001111000111101111001100	,0,-1,110011010001100101111010	,00111111010011010001100101111010	
1,-1,100100100100100100101011	,10111111000100100100100100101011	,0,-3,111010011000101100101110	,00111110011010011000101100101110	
0,-2,101101000000101100110100	,00111110101101000000101100110100	,0,-3,101011011010100101000011	,00111110001011011010100101000011	
0,-1,110110001001110110001100	,00111111010110001001110110001100	,0,-1,110101100001010011110000	,00111111010101100001010011110000	
0,-1,110001111011110001111111	,00111111010001111011110001111111	,1,-1,101101010010010101100111	,10111111001101010010010101100111	
0,-3,110010101000110010011011	,00111110010010101000110010011011	,0,-1,100100010011011101011100	,00111111000100010011011101011100	
1,-1,101001011111101001100101	,10111111001001011111101001100101	,0,-1,101100100010011011100101	,00111111001100100010011011100101	
0,-1,111010010111111010011001	,00111111011010010111111010011001	,1,-2,101010101010101010011111	,10111110101010101010101010011111	
0,-1,110001001110110001010010	,00111111010001001110110001010010	,1,-1,101000110010111001101010	,10111111001000110010111001101010	
0,-3,101111110100101111101000	,00111110001111110100101111101000	,0,-2,100111101011000010110111	,00111110100111101011000010110111	
1,-1,111001101010111001101100	,10111111011001101010111001101100	,0,-3,111101011000010100110111	,00111110011101011000010100110111	
1,-2,110100000010110011110101	,10111110110100000010110011110101	,1,-4,110010111001101000010111	,10111101110010111001101000010111	
0,-1,110001111011110001111111	,00111111010001111011110001111111	,1,-1,111010110000101010000000	,10111111011010110000101010000000	
0,-2,100101111110100101110100	,00111110100101111110100101110100	,0,-2,111111101000000010111110	,00111110111111101000000010111110	
0,-1,100001110000100001111000	,00111111000001110000100001111000	,1,-1,101011110010100001110011	,10111111001011110010100001110011	
0,-1,101000000101101000001011	,00111111001000000101101000001011	,0,-2,111111101000000010111110	,00111110111111101000000010111110	
1,-1,101000110010101000111000	,10111111001000110010101000111000	,0,-4,101100111010011000000100	,00111101101100111010011000000100	
0,-3,111000010000111000000010	,00111110011000010000111000000010	,1,-1,110100000001011111101011	,10111111010100000001011111101011	
1,-1,110001111011110001111111	,10111111010001111011110001111111	,1,-2,111011001000100110110000	,10111110111011001000100110110000	
0,-4,101101000000101100110100	,00111101101101000000101100110100	,1,-2,101111001010000110101101	,10111110101111001010000110101101	
0,-2,110010101000110010011011	,00111110110010101000110010011011	,0,-6,100011111011100001101111	,00111100100011111011100001101111	
